,tweets
129,"[""Such atrocities by the Pakistani terrorist army against Afghan refugees are against all international norms. @UNHumanRights @UNICEFAfg\nWhy is the world silent about Pakistan's oppression?\n@UN @UN_HRC @UNAMAnews \n@KroenerJess @calxandr @ManzoorPashteen @BBCYaldaHakim https://t.co/RB8ofBUVl4""]"
130,"[""1/2 International organizations are assisting #Pakistan solely to prevent the country's population from fleeing and seeking refuge in other nations. Europe is already inundated with #Pakistani refugees. \n#FailingPakistan\n@BarryGardiner\nhttps://t.co/GlaWYitT1x""]"
131,"['Portuguese authorities have identified and arrested a 41-year-old Pakistani national strongly suspected of raping a 6-year-old Ukrainian refugee, another horrific case of Ukrainian refugees facing sexual assault and rape inside European refugee shelters.']"
132,"['#MsMarvel great grand parents migrated from India to Pakistan during the Partition 1947 which resulted in deaths of millions of refugees from both sides. As Partition will be featured in upcoming episodes, this thread has info and accounts of the event seen from Pakistani pov.']"
133,"[""@rjanderso1 They weren't even refugees they just came from Pakistani middle class gentry (which is basically the Pakistani elite because anyone with an IQ above 75 in Pakistan is a genius) so they only comradery they have with asylum seekers is anti-whiteness""]"
134,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJyLpt']"
135,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/gTBL5v6zvu']"
136,"['@nikkivanesch1 hello weghorst family, istanbul is not safe at all right now. There are afghan syrian pakistani refugees. People have sex on the street. would be a bad choice. and sent besiktas players to war before(tosic2016)']"
137,"['@Munezbey @yerebakanabidin @KramponSport hello weghorst family, istanbul is not safe at all right now. There are afghan syrian pakistani refugees. People have sex on the street. would be a bad choice. and sent besiktas players to war before(tosic2016) https://t.co/NRi1C6xW3y']"
138,"['@bbosports hello weghorst family, istanbul is not safe at all right now. There are afghan syrian pakistani refugees. People have sex on the street. would be a bad choice. and sent besiktas players to war before(tosic2016) \n\nKopyalayıp atıyoruz\nİNSTA İSMİ :nikkivanes']"
139,"['@panthervipul @Kevin_Maguire How easy it is to believe the Daily Mail. I have had Iraqi &amp; Pakistani teachers whom both where excellent, English and Maths. Both refugees.']"
0,"[""More than $100m shortfall in aid pledges for UN's Palestinian refugee agency https://t.co/eDKYd5e9Da""]"
1,"['@GmailKris @dcentralised @SheriffFord @amandamilling They certainly did. They accepted resolution 194, as confirmed by Abba Eban in 1949. Israeli membership was granted on that condition. The Arab Israeli war was nearly over by then. No Palestinian refugee was ever given the opportunity to return and live in peace. https://t.co/HFWTGeQv9K']"
2,"['Footage documenting the moment when Israeli occupation forces shot on Thursday the Palestinian young man, Muraz Al Masri, during Israeli military raid into Dheisheh refugee camp in Bethlehem city, occupied West Bank. https://t.co/lxluPaxYDt']"
3,"['The reason Palestinian refugee numbers have gone up since 1948 is exclusively because #UNRWA includes descendants of refugees to inflate their numbers and get more money! It is the only organization which defines a “refugee” that way, and it is an absolute scam. https://t.co/FbTDVVhEqC']"
4,['International donors pledge $160 million for UN Palestinian refugee agency https://t.co/D338IVxOEx\n\nThe Times of Israel']
5,['International donors pledge $160 million for UN Palestinian refugee agency https://t.co/UpHEplB6OT']
6,"['@SpiritofHo @richimedhurst “the forgotten refugee crisis”. Also, in all of history there has never been a country called “Palestine”, and “Palestinian” national identity is a relatively recent creation. Israel is the historic, ancient, indigenous and spiritual homeland of the Jewish people.']"
7,"['@brownmpaul @caitoz The ranty left wing politics that refuses to see any link between the Cuban govts. own policies and the refugee outflows, and the Palestinian flag in your bio.']"
8,"[""@ani_bencohen The end of the palestinian refugee farce, they'll finally stop growing.""]"
9,['Israel’s UN Envoy Demands Accountability After Report Exposes New Cases of Antisemitism at Palestinian Refugee Agency https://t.co/bL6OhHEBiJ']
10,"['@AJEnglish @Refugees UNHCR, the agency responsible for all refugees other than Palestinians is mandate to resettle   refugees, often in foreign countries. The mandate of  UNRWA, agency responsible exclusively for Palestinian refugees  excludes refugee resettlement, leaving the problem to linger']"
11,"['This, by the way, was the war where Israeli soldiers surrounded a Palestinian refugee camp in Lebanon to cover the backs of the fascist Maronite death squad who were massacring thousands of civilian refugees inside https://t.co/7DLCqL1uRu']"
12,['@Iyadboustany @libchafc Bien dit! \n\n@oldlevantine and @AviKaner strategy is for lebanon to nationalize a Palestinian refugee for every Lebanese jew that left the country ! 😅']
13,"['@therecount As a Palestinian refugee, I say eat 💩']"
14,"['@BenStiller @ZelenskyyUa @Refugees Can you visit the Jenin refugee camp they can also do with the same type of media attention you brought here, especially now the UN have investigated the death of American - Palestinian reporter Shireen. UN’s high commissioner for human rights Michelle Bachelet would be glad.✌️']"
15,"['Footage documenting the moment when Israeli occupation forces shot Palestinian young man, Muraz Al Masri, when appears no risk during Israeli military raid into Dheisheh refugee camp in Bethlehem city, occupied West Bank.\n#Israeli #IDF terrorism!\n#FreePalestine #Palestine 🇵🇸 https://t.co/iiS9pc9Ejr']"
16,['Minister @amandamilling  was briefed by @UNRWA  Acting Director Dorothee Klaus on crucial basic services provided to Palestinian refugees in Shua’fat refugee camp and across the region supported by UK🇬🇧 humanitarian aid. UK remains steadfast supporter of #UNRWA. https://t.co/5IBuliEzAn https://t.co/WR4vBNR0tC']
17,"['Footage documenting the moment when Israeli occupation forces shot on Thursday the Palestinian young man, Muraz Al Masri, during Israeli military raid into Dheisheh refugee camp in Bethlehem city, occupied West Bank. https://t.co/LWhLSfdY8a']"
18,['Delighted that the UK announced £15m this year at UN pledging conference to support Palestinian refugees. @UKUN_NewYork\n\nToday I saw how UK support is being delivered by @UNRWA for refugees in Shua’fat refugee camp.\n\n🇬🇧 remains committed to delivering humanitarian support. https://t.co/3tBF5hsO1Y']
19,"['🇵🇸#Palestine | The moment when the Palestinian young man Muraz Al Masri got shot by the Israeli occupation forces whilst raiding the Dheisheh refugee camp in Bethlehem city, yesterday. 23.6.20.6.2022 https://t.co/bachxvubFW']"
20,['@triberuth @AJEnglish @Refugees Because unlike any other group Palestinian’s remain refugees 3 generations removed is Bella Haddid.. also the surrounding Arab countries won’t give them citizenship or let them out of refugee camps or assimilate into society.. it’s part of the strategy of demonizing Israel']
21,['My father is a former Palestinian refugee who-despite all cards stacked against him-chose this country to build a family and life in. \n\nI will give my life before I see my children or anyone forced into living as second class citizens in the United States. This isn’t Gilead. https://t.co/zjtFucDPGA']
22,"['@TheWillPorter @scotthortonshow @LibertarianInst @FreemansMind96 2. A veteran Al Jazeera reporter, Abu Akleh was fatally shot in the head soon after arriving at a Palestinian refugee camp in Jenin on May 11, where Israeli forces were carrying out a raid.']"
23,['This is our dream EVERY. SINGLE. DAY\n\nhttps://t.co/e14skHzkv3\n\n#PalestinianRefugees #PRP #TextPRPto70470 #lebanon #RightOfReturn']
24,"['@elderofziyon And, of course, they miss the ""little detail"" that, according to their ""definition"", every Jew in the world is a Palestinian refugee. ""Descendants of those expelled from the land of Palestine"". Halo? Here am I!']"
25,"[""@AJEnglish @Refugees Ask why the Palestinian Authority keeps Palestinians in the 27 refugee camps in the territory the PA controls and Gaza. Its because the Arab world continues to use these people as a weapon against Israel and doesn't care about the 'Right of Returned'. Those are already returned.""]"
26,"['""Let’s imagine for a moment that we are a young man or woman Palestinian refugee living in Lebanon, or Syria, Jordan, Gaza,"" said @antonioguterres, suggesting that ""Investing in @UNRWA means investing in the future through education of children &amp; youth, girls &amp; boys..."" https://t.co/IF5HY3QVKs']"
27,['In the 70+ years since the founding of @UNRWA the organization has failed to relocate a single Palestinian Arab refugee and is the only refugee organization in history where the refugee status is inherited by the refugees children. Internal investigations of UNRWA']
28,"['@riachi_jean @CharlesSarkis6 Al-zeeb, Mazraa, Nahirya and Acre are all less than 35 km from the refugee camp of Tyre. Israel refuses categorically to allow them back. The line drawn by the French in naqoura and labbouneh artificially divided the people into Lebanese and Palestinian \nhttps://t.co/5BFMSdAQ71']"
29,['@Milo_Silvestri @mishtal There is a UN agency that treats refugees worldwide called UNHCR. Only Palestinians have a unique agency of their own UNRWA which perpetuates their refugee status. There is a clear distinction between Palestinian refugees and any other group of refugees. Nationality does matter..']
30,['Defund and disband vile UNRWA now! And put antisemitic enablers like Swiss POS Lazzarini on trial.\n\nIsrael’s UN Envoy Demands Accountability After Report Exposes New Cases of Antisemitism at Palestinian Refugee Agency https://t.co/BqgJdUmVOD']
31,['@Milo_Silvestri @mishtal Jews are not colonialists in Israel!\nMany Palestinians have origins elsewhere and came to the land in the 19th &amp; 20th century. To be a Palestinian refugee it was enough to live in the land 2 years pre 1948. No other group passes refugee status to next generations.']
32,"['And will never die:\n\nOn World Refugee Day, the Palestinian dream of return is still alive – Mondoweiss https://t.co/qBcxtKWe29']"
33,"['The longest refugee tragedy in the world is that of the Palestinians, who were forcibly uprooted from their homes in 1948. The right of return remains the essence of the Palestinian cause https://t.co/aomcmf3v2E']"
